"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started"
"Äänekoski Hiski",103151,NA,NA,62.6,25.74,110,"Air quality (urban)",2004
"Äänekoski Kalaniemi",101541,3405,NA,62.88,25.86,107,"Precipitation",1956
"Ähtäri Myllymäki",101520,3301,2924,62.53,24.22,159,"Precipitation, Weather",1959
"Alajärvi Möksy",101533,3314,2787,63.09,24.26,171,"Weather",1996
"Alavus Sulkavankylä",101305,2213,NA,62.45,23.55,124,"Precipitation",1942
"Asikkala Pulkkilanharju",101185,1434,2727,61.27,25.52,79,"Weather",1991
"Bay of Bothnia wavebuoy",137228,NA,NA,64.68,23.24,0,"Buoy",2012
"Enonkoski Simanala",101446,2806,NA,62.06,29.04,95,"Precipitation",1937
"Enontekiö airport",101976,8208,2802,68.36,23.43,308,"Weather",1999
"Enontekiö Kaaresuvanto",101968,8102,NA,68.44,22.51,320,"Precipitation",1953
"Enontekiö Kilpisjärvi",102016,9003,2801,69.05,20.79,480,"Precipitation, Weather",1978
"Enontekiö Kilpisjärvi Saana",102017,9004,2701,69.04,20.85,1002,"Weather",1991
"Enontekiö Näkkälä",102019,9201,2726,68.6,23.58,374,"Weather",1960
"Espoo Kivenlahti",101000,334,2838,60.18,24.64,44,"Mast",1989
"Espoo Kytö",654910,NA,NA,60.06,24.72,0,"Buoy",2013
"Espoo Leppävaara Läkkisepänkuja",100691,NA,NA,60.22,24.81,20,"Air quality (urban)",2010
"Espoo Luukki",100723,NA,NA,60.31,24.68,64,"Air quality (urban)",1987
"Espoo Nuuksio",852678,344,2986,60.29,24.57,90,"Weather",2014
"Espoo Olari",106424,NA,NA,60.17,24.75,20,"Air quality (urban)",2016
"Espoo Tapiola",874863,342,2985,60.18,24.79,6,"Weather",2013
"Föglö Degerby",134252,NA,NA,60.03,20.38,0,"Mareograph",1923
"Gulf of Finland wavebuoy",134221,NA,NA,59.96,25.24,0,"Buoy",1990
"Haapavesi Mustikkamäki",101695,4402,2797,64.14,25.42,112,"Precipitation, Weather",1951
"Hailuoto Keskikylä",101776,5301,2874,65.02,24.73,7,"Weather",1950
"Hailuoto Kujalannurkka",104109,NA,NA,65,24.69,4,"Air quality",1995
"Hailuoto Marjaniemi",101784,5310,2873,65.04,24.56,7,"Air quality, Weather",1974
"Halsua Purola",101528,3309,2725,63.45,24.44,153,"Precipitation, Weather",1958
"Hämeenlinna Katinen",101150,1322,2754,61,24.49,87,"Weather",2001
"Hämeenlinna Kotinen",101188,1437,NA,61.24,25.07,158,"Air quality",1987
"Hämeenlinna Lammi Evo",101189,1438,2713,61.22,25.13,134,"Weather",2005
"Hämeenlinna Lammi Pappila",101154,1403,2767,61.05,25.04,125,"Precipitation, Weather",1963
"Hämeenlinna Niittykatu",103109,NA,NA,61,24.46,85,"Air quality (urban)",2011
"Hämeenlinna Pirttikoski",101143,1315,NA,61.01,23.92,128,"Precipitation",1939
"Haminan satama",104125,NA,NA,60.53,27.16,8,"Air quality (urban)",1989
"Hamina Pitäjänsaari",134254,NA,NA,60.56,27.18,0,"Mareograph",1928
"Hammarland Märket",100919,14,2993,60.3,19.13,3,"Weather",1977
"Hanko Längden",654900,NA,NA,59.76,23.22,0,"Buoy",2013
"Hanko Pikku Kolalahti",134253,NA,NA,59.82,22.98,0,"Mareograph",1887
"Hanko Russarö",100932,101,2982,59.77,22.95,7,"Weather",1881
"Hanko Tulliniemi",100946,115,2746,59.81,22.91,10,"Weather",1990
"Hanko Tvärminne",100953,202,2750,59.84,23.25,3,"Weather",1962
"Harjavalta Kaleva",103142,NA,NA,61.31,22.14,43,"Air quality (urban)",1978
"Harjavalta Pirkkala",103143,NA,NA,61.33,22.14,40,"Air quality (urban)",1990
"Hattula Lepaa",101151,1323,2704,61.11,24.32,87,"Weather",2006
"Hausjärvi Lavinto",101139,1311,NA,60.81,24.84,102,"Precipitation",1907
"Heinävesi Palokki",101589,3702,NA,62.57,28.59,100,"Precipitation",1908
"Heinola Asemantaus",101196,1506,2768,61.2,26.05,92,"Weather",1908
"Heinola Tiilitehtaankatu",105416,NA,NA,61.2,26.05,70,"Air quality (urban)",2018
"Helsinki Eteläsatama",105406,NA,NA,60.16,24.96,2,"Air quality (urban)",2018
"Helsinki Harmaja",100996,330,2795,60.11,24.98,6,"Weather",1989
"Helsinki Kaisaniemi",100971,304,2978,60.18,24.94,3,"Weather",1844
"Helsinki Kaivopuisto",132310,345,2960,60.15,24.96,2,"Mareograph",1904
"Helsinki Kallio 2",100662,NA,NA,60.19,24.95,21,"Air quality (urban)",1999
"Helsinki Kumpula",101004,339,2998,60.2,24.96,24,"Air quality, Precipitation, Weather",2005
"Helsinki Länsisatama 2",104067,NA,NA,60.15,24.92,20,"Air quality (urban)",2012
"Helsinki lighthouse",101003,337,2989,59.95,24.93,0,"Weather",2003
"Helsinki Mäkelänkatu",100762,NA,NA,60.2,24.95,20,"Air quality (urban)",2015
"Helsinki Malmi airfield",101009,401,2785,60.25,25.05,15,"Weather",1937
"Helsinki Mannerheimintie",100742,NA,NA,60.17,24.94,5,"Air quality (urban)",2005
"Helsinki Mechelininkatu",106422,NA,NA,60.17,24.92,20,"Air quality (urban)",2016
"Helsinki Suomenlinna wavebuoy",103976,NA,NA,60.12,24.97,0,"Buoy",2016
"Helsinki Vartiokylä Huivipolku",100803,NA,NA,60.22,25.1,25,"Air quality (urban)",2009
"Helsinki Vuosaari harbour",151028,411,2784,60.21,25.2,2,"Weather",2012
"Helsinki Vuosaari Käärmeniementie",103943,NA,NA,60.22,25.17,9,"Weather",2016
"Hollola Kansankatu siirrettävä",103814,NA,NA,60.99,25.52,20,"Air quality (urban)",2015
"Huittinen Sallila",101075,1111,NA,61.02,22.7,73,"Precipitation",1961
"Hyvinkää",104058,NA,NA,60.63,24.86,20,"Air quality (urban)",2008
"Hyvinkää Hyvinkäänkylä",101130,1302,2829,60.6,24.8,86,"Weather",1930
"Iitti Kausalan Paloasema",104100,NA,NA,60.89,26.36,83,"Air quality (urban)",2016
"Ikaalinen Hakumäki",101312,2220,2941,61.77,23.08,154,"Radar",1994
"Ikaalinen Vehuvarpee",101277,2108,NA,61.74,22.82,124,"Precipitation",1961
"Ilmajoki Seinäjoki airport",137188,NA,NA,62.69,22.84,86,"Weather",2012
"Ilomantsi Mekrijärvi",101651,3919,2939,62.77,30.98,155,"Weather",1999
"Ilomantsi Naarva",101641,3909,NA,63.03,31.06,245,"Precipitation",1989
"Ilomantsi Pötsönvaara",101649,3917,2766,63.14,31.04,233,"Air quality, Weather",1997
"Imatra Mansikkala",103118,NA,NA,61.19,28.77,75,"Air quality (urban)",1998
"Imatra Pelkolan tulliasema Raja",103119,NA,NA,61.13,28.84,60,"Air quality (urban)",1991
"Imatra Rautionkylä",103121,NA,NA,61.24,28.87,101,"Air quality (urban)",1987
"Imatra Teppanala",103122,NA,NA,61.15,28.81,62,"Air quality (urban)",1994
"Inari Angeli Lintupuoliselkä",102026,9405,2857,68.9,25.74,285,"Weather",2008
"Inari Ivalo airport",102033,9601,2807,68.61,27.42,140,"Weather",1957
"Inari Kaamanen",102047,9616,2702,69.14,27.27,156,"Weather",2008
"Inari Kirakkajärvi",102055,9708,2858,69.58,28.89,106,"Weather",2009
"Inari Nellim",102052,9705,2835,68.85,28.3,121,"Weather",1990
"Inari parish village",102046,9615,NA,68.91,27.02,127,"Precipitation",2003
"Inari Raja-Jooseppi",102009,8704,2818,68.48,28.3,253,"Air quality, Weather",1992
"Inari Raja-Jooseppi Kontiojärvi",102008,8702,NA,68.47,28.32,185,"Precipitation",1960
"Inari Saariselkä Kaunispää",102006,8607,2817,68.43,27.44,437,"Weather",1995
"Inari Saariselkä tourist centre",102005,8606,2722,68.42,27.41,302,"Weather",1976
"Inari Seitalaassa",129963,9617,2888,69.05,27.76,120,"Weather",2011
"Inari Väylä",102042,9611,2827,69.07,27.49,123,"Weather",1990
"Inkoo Bågaskär",100969,302,2984,59.93,24.01,12,"Weather",1955
"Inkoo Heimgård",103150,NA,NA,60.04,23.98,5,"Air quality (urban)",1980
"Isojoki Kärjenkoski",101258,2004,NA,62.13,21.67,54,"Precipitation",1942
"Jalasjärvi Hirvijärv",101285,2117,NA,62.47,22.91,100,"Precipitation",1920
"Jämsä Halli airport",101315,2301,2945,61.86,24.8,143,"Weather",1964
"Jämsä Halli Lentoasemantie",101338,2324,2946,61.86,24.81,144,"Weather",2008
"Jämsä Lääkäritalo",104113,NA,NA,61.87,25.2,82,"Air quality (urban)",1978
"Jämsä Seppolantie",103129,NA,NA,61.87,25.2,90,"Air quality (urban)",2013
